,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
342,ARHGEF28,640.291538504682,3.20556651388054,0.866340235536176,3.7001242495641695,0.000215493933687993,0.0314481590146391
268,MAST1,218.749459799735,3.2121858510791896,0.8380961928836541,3.83271738775827,0.000126735520570196,0.0236891773598143
345,TRGV3,489.088606945442,3.2133566105786002,0.8679953371371609,3.70204363214318,0.000213869826458189,0.0314481590146391
348,PRDM7,251.48046216409,3.21467769882708,0.869569432915241,3.69686143181211,0.000218281408406934,0.0314481590146391
399,DSCR4,668.041282175037,3.2164383752854198,0.890203467375488,3.61314968224981,0.000302499959368226,0.0380250011424844
407,RPL13AP22,250.986388831298,3.21771123794994,0.8929125637208108,3.60361290532365,0.000313824332049138,0.0385804431290042
477,PCP4L1,376.50437991430397,3.21832855820943,0.9098644213445671,3.5371517807603596,0.000404467152570543,0.0425460520887019
422,TMEM155,601.468611325133,3.2214039571871798,0.897323389771764,3.59001447405327,0.000330659600133355,0.0393047171496578
426,OR4A12P,488.514952409078,3.2229785297458897,0.8993418792773391,3.58370782458802,0.000338750999456163,0.0398594895377384
256,BMF,334.032548663037,3.22917389620506,0.8387301046607859,3.85007510552046,0.00011808161019936799,0.0231021846009121
178,CCDC73,278.19528335538104,3.23257260590191,0.801781464051778,4.03173776251474,5.5365945627146495e-05,0.0154233351650429
253,TNFRSF13C,408.38997978017096,3.23270309874105,0.8379348116460908,3.85794104005601,0.00011434622151173602,0.0226355998576047
187,OR2A1,643.559684361019,3.23291925928263,0.806418547977055,4.00898425190316,6.0980482628172496e-05,0.0162230669154875
449,MTA1,622.866716115234,3.23615831471439,0.9089096764192159,3.56048394980645,0.00037017193802142,0.0411039585977106
344,ZDHHC14,451.718833785788,3.2387268247625203,0.8752788361402729,3.70022293586392,0.000215410147535158,0.0314481590146391
409,C1orf115,277.576346075866,3.24190729358907,0.9001203599968101,3.60163755611589,0.00031621902925241404,0.0387173305472527
340,PTCHD3P2,276.740599896526,3.24489263480511,0.877556041244985,3.6976471955017205,0.000217607040633353,0.0314481590146391
222,OR2T6,354.127732178736,3.24566221998559,0.8272126993229691,3.9236126604947,8.72309444458353e-05,0.0196684265366863
322,PPP2R3B,383.90808828936304,3.24728840714267,0.8700375565687901,3.7323542904850697,0.00018969843235885602,0.0295301141716273
346,ULK4P3,602.150850677863,3.24848785848321,0.8787089559002621,3.6968871623199098,0.00021825929461453798,0.0314481590146391
294,MIR6858,666.152544500791,3.25007849262752,0.857830020559854,3.78872085929842,0.000151424939312308,0.0258714408030394
234,VIP,297.366274986517,3.25079786518293,0.835302053810602,3.89176328533249,9.95183165268535e-05,0.0213320886073524
391,SNORD45C,644.822671960443,3.25360469348633,0.8977769867708529,3.6240678268987203,0.000290005498827983,0.0371983838943107
277,RPS15AP27,452.212025309952,3.25360508874389,0.852287651916942,3.8174964537219,0.00013481272438709498,0.0243831604133364
252,OR7E162P,414.487351707014,3.2558845321882,0.8439248064378491,3.8580268139422,0.000114306110193549,0.0226355998576047
251,TUBBP4,360.73373080088095,3.2567018514820703,0.8434530888098499,3.861153506566,0.000112852969425982,0.0225173022051896
546,PODN,387.54186375835195,3.25722276182172,0.941020838703923,3.4613715529487403,0.000537430513296287,0.0494013594863813
372,OR52V1P,519.84218360151,3.2666032022142595,0.892893202369406,3.6584478340140896,0.000253747374866917,0.0342055543047814
